,neighborhood,Censo electoral,Abstención,Votos en blanco,Votos a candidaturas,Más Madrid,PP,Ciudadanos,PSOE,VOX
46,Del Pilar,1.0,0.3226182725694444,0.003228081597222222,0.6773817274305556,0.1982150607638889,0.16715494791666666,0.122314453125,0.11097547743055555,0.048149956597222224
47,La Paz,1.0,0.21612857747074582,0.0026434512900042296,0.7838714225292542,0.1880022557451008,0.2514803327224024,0.1783096010150853,0.08067813337092908,0.06421824333850275
48,Valverde,1.0,0.2994818652849741,0.003084709001084468,0.7005181347150259,0.18958910712133992,0.150210868779371,0.18746836968309435,0.0846367032172551,0.061935172912399084
49,Mirasierra,1.0,0.20651812437645495,0.0029514466245427334,0.7934818756235451,0.1538909211839042,0.2731543066178916,0.20373295643498504,0.05175424010641836,0.09024775523777852
50,El Goloso,1.0,0.24017888460189407,0.002981410031567871,0.7598211153981059,0.1637144861452122,0.20790950543668887,0.22895475271834445,0.04875482286916871,0.09102069449316029
51,Casa de Campo,1.0,0.2560105184072126,0.0030991735537190084,0.7439894815927873,0.28117956423741547,0.17937640871525168,0.13382794891059355,0.0674305033809166,0.0508076634109692
52,Argüelles,1.0,0.26418152350081037,0.0030846447430334083,0.7358184764991896,0.19903800909708788,0.25524128195744233,0.13713598577926492,0.049981701259998956,0.07288126731845036
53,Ciudad Universitaria,1.0,0.22811587339174363,0.002446917673060226,0.7718841266082563,0.1805983108374773,0.2825795248243745,0.16425921540768806,0.0536743231509985,0.06654037414160549
54,Valdezarza,1.0,0.2922669675403576,0.0035150147543829197,0.7077330324596425,0.23889081756639471,0.15522478736330497,0.1317045651796563,0.10323728519354279,0.04478389168547127
55,Valdemarín,1.0,0.213030232013124,0.0007030700726505742,0.786969767986876,0.048511835012889616,0.41551441293648933,0.1830325755800328,0.0217951722521678,0.10921021795172252
56,El Plantío,1.0,0.23378582202111614,0.0015082956259426848,0.7662141779788839,0.09049773755656108,0.3695324283559578,0.1478129713423831,0.032679738562091505,0.11412770236299648
57,Aravaca,1.0,0.21388785740809507,0.003395045355684049,0.786112142591905,0.16046894063975387,0.29945360988806957,0.1736777889767121,0.05384329743780171,0.07654766325393879
58,Los Cármenes,1.0,0.3696565944959949,0.0019034023316678564,0.630343405504005,0.22634626060750257,0.10920770877944326,0.10492505353319058,0.10722499801728924,0.047188516139265606
59,Puerta del Ángel,1.0,0.37815662934194155,0.0018494233161841353,0.6218433706580584,0.21987961935505565,0.1333602340361142,0.09327818689263256,0.09852382393490029,0.041393456404048554
60,Lucero,1.0,0.34452717224439666,0.0024946269573226897,0.6554728277556033,0.20889622351857537,0.151634940128953,0.10734571691740866,0.11068467915259442,0.039261590420632486
61,Aluche,1.0,0.3172937187146779,0.002906507347004683,0.6827062812853222,0.19201114161149685,0.17887130631357984,0.11020507024059421,0.11549329888583885,0.04559583400613596
62,Campamento,1.0,0.31481752894621134,0.002784698812838927,0.6851824710537887,0.16451707460061557,0.20240363476476622,0.12465191264839513,0.08720504177048219,0.07533343104206361
63,Cuatro Vientos,1.0,0.3203592814371258,0.00249500998003992,0.6796407185628742,0.23003992015968064,0.08532934131736528,0.18188622754491018,0.09081836327345309,0.05563872255489022
64,Las Águilas,1.0,0.3048073559542252,0.0023487082104842335,0.6951926440457749,0.21408225475988207,0.14704412573084805,0.11426215581430213,0.1292539103493079,0.05247114087252011
65,Comillas,1.0,0.3656175808120777,0.0023741401351433616,0.6343824191879224,0.21251597978937115,0.1423875327205211,0.10038351494490777,0.09819200097400621,0.045717416448529856
66,Opañel,1.0,0.3735333885811489,0.0023553016094561,0.6264666114188512,0.21328564574519127,0.1352553757578401,0.10031840188424129,0.10289178697605443,0.04387839665023771
67,San Isidro,1.0,0.4138480937546358,0.0025589675122385403,0.5861519062453642,0.20119418483904467,0.11322504079513425,0.0873015873015873,0.1106289867972111,0.038681204569055036
68,Vista Alegre,1.0,0.39540596586377413,0.0027117562609666615,0.6045940341362259,0.18771733928856277,0.14244696123783698,0.0922954219173712,0.10457808262880842,0.044823735843037164
69,Puerta Bonita,1.0,0.42948437363214564,0.0031515363739823164,0.5705156263678544,0.17679243631270244,0.10894686159502757,0.09126324082990458,0.11713210189967609,0.042239341679068544
70,Buenavista,1.0,0.3315427386674206,0.0038325008638833914,0.6684572613325794,0.2380234348003644,0.10366600697389501,0.13297521440015078,0.10774981936983634,0.04884867904375962
71,Abrantes,1.0,0.4019588542179348,0.002264002362437248,0.5980411457820651,0.18766610886898316,0.11571020769760804,0.10000984348853234,0.11807264494536863,0.046707353085933656
72,Orcasitas,1.0,0.3590105176567366,0.0026441036488630354,0.6409894823432634,0.29067512779834304,0.06768905341089371,0.08913567189611611,0.12580057582701687,0.03631235677771902
73,Orcasur,1.0,0.48492750599770523,0.0028163137582142483,0.5150724940022948,0.1907791801397726,0.06195890268071347,0.06978199645353082,0.13382705747366225,0.03181391467612392
74,San Fermín,1.0,0.4161653151974889,0.002746534135495684,0.5838346848025111,0.20193565262882554,0.08422704682186764,0.09508239602406487,0.12862934867904788,0.04145958671200628
75,Almendrales,1.0,0.4526887478008108,0.0019123384074045742,0.5473112521991892,0.1806777327315842,0.1038017287539203,0.08590224126061348,0.11787653943241796,0.03534001376883653
76,Moscardó,1.0,0.39555369127516776,0.0026366251198465963,0.6044463087248322,0.20385906040268456,0.1264980824544583,0.08868648130393098,0.11235618408437201,0.03906999041227229
77,Zofío,1.0,0.41222707423580784,0.003056768558951965,0.5877729257641922,0.21419213973799126,0.09181222707423581,0.08307860262008733,0.1275109170305677,0.03504366812227074
78,Pradolongo,1.0,0.49654962451796225,0.0016237061091942358,0.5034503754820377,0.15790541911913944,0.09559569717881064,0.06687639537243759,0.12319870103511264,0.03440227318855287
79,Entrevías,1.0,0.44882047984567774,0.001808463609693365,0.5511795201543223,0.20463770445685808,0.05389221556886228,0.05939798255837319,0.1649720692842503,0.027769963428847005
80,San Diego,1.0,0.48881334492845285,0.002292671357419559,0.5111866550715471,0.19072653964740297,0.0633251640445885,0.06202071309984979,0.12783619258439402,0.028737449600758955
81,Palomeras Bajas,1.0,0.3401864127325953,0.003062014199670245,0.6598135872674047,0.30263467815202394,0.0721760489922272,0.08102560651435109,0.12231232544836637,0.027726370335475623
82,Palomeras Sureste,1.0,0.38037630228580316,0.0020836572850256568,0.6196236977141969,0.2546726792100762,0.06135904213963614,0.08241331052713419,0.14843725703623076,0.0325299331363707
83,Portazgo,1.0,0.4086893903024484,0.36240700014037713,0.5913106096975516,0.2342774843975036,0.07767642822851656,0.06821891502640423,0.13783005280844934,0.03269323091694671
84,Numancia,1.0,0.4172883654972563,0.0019729946359208334,0.5827116345027437,0.2132683889265676,0.08915469511067267,0.07879647327208829,0.1266415931931685,0.03366422097539922
85,Pavones,1.0,0.32465695289291274,0.002121940868581129,0.6753430471070873,0.25095487339086153,0.1092092233696421,0.1126043287593719,0.11755552411939454,0.046682699108784836
86,Horcajo,1.0,0.26310359059017746,0.0047461824184894755,0.7368964094098225,0.2651671481634338,0.10916219562525795,0.17952950887329758,0.09203466776723071,0.054890631448617416
87,Marroquina,1.0,0.2528487834924546,0.0030357692815346036,0.7471512165075455,0.23467816445950107,0.18958159179902329,0.14034933345065775,0.10189625588455277,0.04668045228562629
88,Media Legua,1.0,0.3102317141261865,0.0041876046901172526,0.6897682858738136,0.21286990508096035,0.18216080402010051,0.11760189838079285,0.09617532104969291,0.04592406476828587
89,Fontarrón,1.0,0.3766506136398944,0.0024856299518409195,0.6233493863601056,0.2129874164983688,0.12637874786391176,0.08979338201025322,0.12187354357620009,0.03759515302159391
90,Vinateros,1.0,0.30902803878824325,0.003457866646621063,0.6909719612117567,0.22167932045403294,0.16139216718033525,0.10576561677817034,0.11869503119597083,0.03886341426745847
91,Ventas,1.0,0.36670511125488764,0.002616107344791696,0.6332948887451124,0.2029874258066331,0.14076345326169512,0.10782300486652227,0.10830121803707558,0.04132324397310754
92,Pueblo Nuevo,1.0,0.3660359676915525,0.002766745504038556,0.6339640323084474,0.20219554643223706,0.13548127984292024,0.11075907001651122,0.11325806595564282,0.04054174661966174
93,Quintana,1.0,0.36314499052713695,0.003510531594784353,0.636855009472863,0.1988186782569932,0.1477209405995765,0.11829934247186003,0.09511868940153795,0.04513540621865597
94,La Concepción,1.0,0.320973641064447,0.003152982721654685,0.6790263589355531,0.20576365241518477,0.16698196493883213,0.14396519107075292,0.08052717871106066,0.05240257283390087
95,San Pascual,1.0,0.2639972385226096,0.004832585433206766,0.7360027614773904,0.20469451156368657,0.1957887469796341,0.15768035899206076,0.09423541594753193,0.052260959613393165
96,San Juan Bautista,1.0,0.23298731257208766,0.004823319702212436,0.7670126874279123,0.1985949459997903,0.24598930481283424,0.18150361748977667,0.05892838418789976,0.0568312886651987
97,Colina,1.0,0.2506193228736581,0.003096614368290669,0.7493806771263418,0.19508670520231214,0.22708505367464904,0.17630057803468208,0.06007431874483898,0.06812551610239471
98,Atalaya,1.0,0.266839378238342,0.0,0.7331606217616581,0.11744386873920552,0.3281519861830743,0.16321243523316062,0.06217616580310881,0.044905008635578586
99,Costillares,1.0,0.22652156388553002,0.003166925778775839,0.77347843611447,0.11648528819024587,0.3054068060114009,0.19859503656359762,0.0464098577762423,0.08832843899349341
100,Palomas,1.0,0.2234927234927235,0.004365904365904366,0.7765072765072765,0.11975051975051976,0.27983367983367985,0.22744282744282746,0.04760914760914761,0.0841995841995842
101,Piovera,1.0,0.24643026004728133,0.002364066193853428,0.7535697399527187,0.13919621749408984,0.2723404255319149,0.2058628841607565,0.04747044917257683,0.07186761229314421
102,Canillas,1.0,0.27893568477523584,0.0032065116852685455,0.7210643152247641,0.22402417216501203,0.15554664857865202,0.15181599556021458,0.11050132576925449,0.046309428377628414
103,Pinar del Rey,1.0,0.3184398195313637,0.0028380148450007276,0.6815601804686363,0.19883083491000825,0.14745548925435406,0.1337990588463591,0.11941493232426138,0.05178770678697909
104,Apóstol Santiago,1.0,0.3309222423146474,0.0029590662502054907,0.6690777576853526,0.19414762452737136,0.14359690941969422,0.14006246917639323,0.09781357882623705,0.06468847608088114
105,Valdefuentes,1.0,0.24439096135847038,0.0024869634977938227,0.7556090386415296,0.1692472255649151,0.1834202433480412,0.2522797165396443,0.05896510228640193,0.07289744618264474
106,"Villaverde Alto, C.H. Villaverde",1.0,0.4199635218040126,0.0021886917592439064,0.5800364781959874,0.18351848781296634,0.08506052064334273,0.08303763886585973,0.15290996517990382,0.03830210578676836
107,San Cristóbal,1.0,0.5715782122905028,0.0012802607076350093,0.4284217877094972,0.12639664804469275,0.05865921787709497,0.047253258845437615,0.13931564245810055,0.02490689013035382
108,Butarque,1.0,0.3621326616288833,0.003526448362720403,0.6378673383711168,0.2534005037783375,0.059445843828715365,0.12216624685138538,0.11754827875734676,0.045927791771620485
109,Los Rosales,1.0,0.3723063540389862,0.0032817998497489224,0.6276936459610138,0.22027598750543673,0.08939939108773873,0.10145901704163536,0.14511090901901863,0.03760230912182199
110,Los Ángeles,1.0,0.35131030892051374,0.0026032627559875042,0.6486896910794863,0.2100399166955918,0.13385109337035753,0.09076709475876432,0.13406803193335648,0.04473273169038528
111,Casco Histórico de Vallecas,1.0,0.42181620839363243,0.0031114327062228653,0.5781837916063676,0.23002894356005787,0.07054992764109985,0.07905209840810419,0.12869030390738062,0.03136758321273517
112,Santa Eugenia,1.0,0.28143158327762635,0.003100614955299468,0.7003772414862282,0.23761045940778255,0.12479975195080358,0.12805539765386803,0.12903725905637953,0.04759443956384683
113,Ensanche de Vallecas,1.0,0.28143158327762635,0.003522053982883476,0.6855167873601054,0.29427254772876893,0.06254114549045425,0.15908492429229756,0.08456221198156683,0.04868334430546412
114,Casco Histórico de Vicálvaro,1.0,0.41431151051946413,0.0023516566581279134,0.5856884894805359,0.17461050686599758,0.09583000881871247,0.08953092848444127,0.14828035106874396,0.04165791794398018
115,Valdebernardo,1.0,0.255888107833901,0.0037683890136966445,0.744111892166099,0.32770490615261977,0.08631060221755199,0.1296470758750634,0.11261685629393434,0.04029277483875643
116,Valderrivas,1.0,0.21729398109766207,0.004393964516663903,0.7827060189023379,0.2981263472061018,0.09633559940308406,0.20527275741999668,0.09815950920245399,0.04700712982921572
117,El Cañaveral,1.0,0.23266022827041263,0.0052677787532923615,0.7673397717295873,0.2712906057945566,0.07638279192273925,0.18788410886742757,0.09218612818261633,0.07462686567164178
118,Simancas,1.0,0.3849612403100775,0.0027906976744186047,0.6150387596899225,0.19467700258397933,0.10418604651162791,0.12361757105943152,0.11819121447028423,0.04258397932816538
119,Hellín,1.0,0.4211878926327813,0.002284408909194746,0.5788121073672188,0.20359794403198173,0.08081096516276413,0.07424328954882924,0.1453455168475157,0.03440890919474586
120,Amposta,1.0,0.4991811333114969,0.001965280052407468,0.5008188666885031,0.1583688175565018,0.0725515886013757,0.06993121519816574,0.1406812970848346,0.029970520799213887
121,Arcos,1.0,0.38696178834930073,0.0030283008479242376,0.6130382116506993,0.21732188085012663,0.0867195242814668,0.10312740887567448,0.13109789670741107,0.04184561171677128
122,Rosas,1.0,0.22948969783090234,0.0039704099970744346,0.7705103021690977,0.28114682158231286,0.12295732854097881,0.17574288460734735,0.10970869728758306,0.04643290007104944
123,Rejas,1.0,0.34660356347438753,0.0023199703043801038,0.6533964365256125,0.196362286562732,0.11590571640682999,0.18420564216778026,0.0736822568671121,0.060783221974758724
124,Canillejas,1.0,0.36028615804584174,0.0024003388713700756,0.6397138419541583,0.19230950251800255,0.13441897679672424,0.11827552125005883,0.1187932413987857,0.04541817668376712
125,El Salvador,1.0,0.2401531728665208,0.002954048140043764,0.7598468271334792,0.22680525164113785,0.1851203501094092,0.17811816192560176,0.07932166301969365,0.06258205689277899
126,Alameda de Osuna,1.0,0.2182429758607044,0.002374356944994064,0.7817570241392956,0.22734467748318163,0.20689882601239942,0.18935496636327662,0.07235193246273579,0.062326869806094184
127,Aeropuerto,1.0,0.46864951768488744,0.0,0.5313504823151125,0.20016077170418006,0.058681672025723476,0.09807073954983923,0.10128617363344052,0.05627009646302251
128,Casco Histórico de Barajas,1.0,0.37220708446866485,0.0019981834695731154,0.6277929155313352,0.1734786557674841,0.11916439600363306,0.12007266121707538,0.12661217075386014,0.0623069936421435
129,Timón,1.0,0.28718182855838376,0.0033101244150211162,0.7128181714416163,0.21983791804588518,0.12281703001940418,0.186736673895674,0.09998858577787924,0.05832667503709622
130,Corralejos,1.0,0.2295957284515637,0.0032418001525553013,0.7704042715484363,0.15903890160183065,0.19298245614035087,0.2604881769641495,0.06254767353165523,0.07379862700228833
